Name,Link,date,Time,platform,type
Data Literacy certificate,https://www.datacamp.com/skill-verification/DL0034826166972,11-Oct-24,,datacamp,exam
Introduction to SQL,https://www.datacamp.com/completed/statement-of-accomplishment/course/962e20151c67331ad50323e50b2fe36d3b3fee79,,2 hours,datacamp,course
Introduction to Python,https://www.datacamp.com/completed/statement-of-accomplishment/course/f29b6074da64b35ffd7e3005276621c11a579230,,4 hours,datacamp,course
Intermediate Python,https://www.datacamp.com/completed/statement-of-accomplishment/course/b9172da7174e98fa801766a3654babea198cf622,,4 hours,datacamp,course
Introduction to R,https://www.datacamp.com/completed/statement-of-accomplishment/course/712b4f1749a3c645a28dbd3f43c8f04ca0dabe60,,4 hours,datacamp,course
Data Manipulation in SQL,https://www.datacamp.com/completed/statement-of-accomplishment/course/133ad01e34f133b86de3b48d62400fdad429a9dd,,4 hours,datacamp,course
Introduction to Data,https://www.datacamp.com/completed/statement-of-accomplishment/course/2c1449c1ce6e33519e14691dea4fc71b5ccbab8a,,2 hours,datacamp,course
Introduction to Statistics in Python,https://www.datacamp.com/completed/statement-of-accomplishment/course/c18f059c416fb649a34a71f195d249352ab5a905,,4 hours,datacamp,course
Understanding Prompt Engineering,https://www.datacamp.com/completed/statement-of-accomplishment/course/1e674aff865a87440c4bf58562f10e4d9d98f2b3,,1 hours,datacamp,course
Introduction to Relational Databases in SQL,https://www.datacamp.com/completed/statement-of-accomplishment/course/4dfa24a37edeab4e9ad843629b3be5391aaaea52,,4 hours,datacamp,course
Database Design,https://www.datacamp.com/completed/statement-of-accomplishment/course/1c64ad257ca10b6cc46abd43f8c8a9bd30bf14f6,,4 hours,datacamp,course
Introduction to the Tidyverse,https://www.datacamp.com/completed/statement-of-accomplishment/course/5f10ad03b15730cff1ee33608221e2ee781418bf,,4 hours,datacamp,course
Cleaning Data in Python,https://www.datacamp.com/completed/statement-of-accomplishment/course/27d9faf8f529b146f5d7c8f4ce2dbfa585d986c9,,4 hours,datacamp,course
Generative AI Concepts,https://www.datacamp.com/completed/statement-of-accomplishment/course/35b1ecd043293afab1dd2dc91295fac0055b9ca4,,2 hours,datacamp,course
Introduction to Statistics in R,https://www.datacamp.com/completed/statement-of-accomplishment/course/70d68854eccd6458466eb85ef0ef61aec256da9e,,4 hours,datacamp,course
Intermediate R,https://www.datacamp.com/completed/statement-of-accomplishment/course/e7edd9fadf801c86134297524892c23b40b8292b,,6 hours,datacamp,course
Introduction to Importing Data in Python,https://www.datacamp.com/completed/statement-of-accomplishment/course/4298577061857f2c6171387e5425c27e6e56c033,,3 hours,datacamp,course
Introduction to Snowflake,https://www.datacamp.com/completed/statement-of-accomplishment/course/c6351a15d7361b92e328e5b0afd670771cbb7373,,3 hours,datacamp,course
Intermediate Importing Data in Python,https://www.datacamp.com/completed/statement-of-accomplishment/course/35dbb5dfc51c5774c1330e5412f5e0d7f0c476d6,,2 hours,datacamp,course
Writing Functions in Python,https://www.datacamp.com/completed/statement-of-accomplishment/course/0abbe14d0fb00d4d919cc1e21d32d7475a95f1a8,,4 hours,datacamp,course
Introduction to Regression in R,https://www.datacamp.com/completed/statement-of-accomplishment/course/8cabc9c455cb36a983f27320148d0dd5c4dd87e8,,4 hours,datacamp,course
Intermediate SQL Queries,https://www.datacamp.com/completed/statement-of-accomplishment/course/5429462f71bf72efb1e01e0af3d84d2b49c97acc,,4 hours,datacamp,course
Introduction to Regression with statsmodels in Python,https://www.datacamp.com/completed/statement-of-accomplishment/course/ce613bfb33c9fa8558bfeb700256722227ce4d30,,4 hours,datacamp,course
Introduction to NumPy,https://www.datacamp.com/completed/statement-of-accomplishment/course/a85ea1a51b55a5cbde9616387c847e37e1046a28,,4 hours,datacamp,course
Working with Dates and Times in Python,https://www.datacamp.com/completed/statement-of-accomplishment/course/e832be09f6eb59ba9fa509093d75bbd0206420ed,,4 hours,datacamp,course
SQL for Joining Data,https://www.datacamp.com/completed/statement-of-accomplishment/course/d77f30b8c5a739e75906daddfdf22fff5608d9ed,,5 hours,datacamp,course
Hypothesis Testing in R,https://www.datacamp.com/completed/statement-of-accomplishment/course/43df2f8a190302edb51081394e06ff5f53db62c6,,4 hours,datacamp,course
Introduction to Importing Data in R,https://www.datacamp.com/completed/statement-of-accomplishment/course/0a9dd50b968f49576ef20fdf5bb19a20bb503b62,,3 hours,datacamp,course
Cleaning Data in R,https://www.datacamp.com/completed/statement-of-accomplishment/course/4d25bbfc9459382758877c77774d67b9e3b85ed4,,4 hours,datacamp,course
Unsupervised Learning in R,https://www.datacamp.com/completed/statement-of-accomplishment/course/19be6d3d93304232ed92e50b0626e1cdc032aea2,,4 hours,datacamp,course
Applying SQL to Real-World Problems,https://www.datacamp.com/completed/statement-of-accomplishment/course/fa2563e3c0a0a39b5419383df2bc00670d7803b2,,4 hours,datacamp,course
Sampling in R,https://www.datacamp.com/completed/statement-of-accomplishment/course/c047aa91cb59e4ab8ce991608c955bc0931a18e7,,4 hours,datacamp,course
Dimensionality Reduction in Python,https://www.datacamp.com/completed/statement-of-accomplishment/course/1a01c901451a0e532e844b503b27ed69bef6fc53,,4 hours,datacamp,course
Regular Expressions in Python,https://www.datacamp.com/completed/statement-of-accomplishment/course/d986a90774f7f58c0cac6837502d87ddb794d151,,4 hours,datacamp,course
Reshaping Data with pandas,https://www.datacamp.com/completed/statement-of-accomplishment/course/2f07c92bd9a2f4c524947a9bc8791dd014b04026,,4 hours,datacamp,course
Experimental Design in R,https://www.datacamp.com/completed/statement-of-accomplishment/course/30a9a6e945e09e73fbc0b12dc7dc0905b14aef0a,,4 hours,datacamp,course
Foundations of Probability in R,https://www.datacamp.com/completed/statement-of-accomplishment/course/90f70a76b6a42e082a734ea7cc804e143ca77cf4,,4 hours,datacamp,course
Intermediate Regression with statsmodels in Python,https://www.datacamp.com/completed/statement-of-accomplishment/course/fccffb56f332c4f89619c90c6ab774f4fda3131c,,4 hours,datacamp,course
Introduction to Linear Modeling in Python,https://www.datacamp.com/completed/statement-of-accomplishment/course/113d3b11c1a795a1fad6dd1c90ffdb48f05d7911,,4 hours,datacamp,course
